Product_ID,Compressor_Type,Product_Name,Power_Rating(HP),Capacity(CFM),Pressure_Rating(PSI),Date_of_Sale,Sales_Channel,Sales_Region,Unit_Price,Quantity_Sold,Total_Sales_Revenue,Customer_ID,Company_Name,Contact_Person,Contact_Email,Contact_Phone,Installation_Date,Service_Contracts,Maintenance_History,Warranty_Information,Energy_Consumption(kWh),Efficiency_Rating(%),Operating_Cost,Environmental_Impact,Market_Trends,Customer_Satisfaction_Ratings,Marketing_Campaigns,Promotional_Discounts,Advertising_Channels,Industry_Regulations,industries
1000,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,56,12,111,2023-07-08,Online Platform,North Region,13654,2,27308,101,Hutchinson-Sutton,Tammy Dalton,justin95@example.org,937.753.4877,2023-07-20,Yes,Regular maintenance every 6 months,1 year warranty,3.2,72.95,9782.12,Minimal environmental impact,Growing,4.7,Trade Shows,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Plastic Manufacturing
1001,OIL LUBRICATED PISTON AIR COMPRESSORS,LD SERIES PISTON COMPRESSOR,149,14,119,2023-01-09,Online Platform,South Region,13128,9,118152,102,"Holmes, Ruiz and Decker",Tyler Douglas,danielsseth@example.net,+1-929-808-7300,2023-06-23,No,Quarterly Maintenance,5 years warranty,6.0,73.35,7045.3,Minimal environmental impact,Stable,4.7,Email Campaign,15% off for first-time buyers,Social media campaigns,No specific regulations,Hydel
1002,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,105,675,207,2023-09-24,Online Platform,North Region,89436,9,804924,103,Bush LLC,Bonnie Trujillo,davispaula@example.org,703.683.0961x705,2023-11-25,No,Regular maintenance every 6 months,5 years warranty,216.4,71.33,61709.41,Minimal environmental impact,Declining,4.9,Trade Shows,15% off for first-time buyers,Industry magazines,Compliance with industry standards,Textile
1003,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,99,1025,129,2023-02-01,Direct Sales,East Region,83980,6,503880,104,Barrett-Aguirre,Tammy Powell,zsimpson@example.org,838.629.9044,2023-08-31,Yes,Regular maintenance every 6 months,3 years warranty,80.0,81.06,54850.24,Low emissions,Growing,4.1,Online Ads,"Free shipping for orders above $10,000",Social media campaigns,Compliance with industry standards,Fabrication Workshops
1004,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EG SERIES SCREW AIR COMPRESSOR,160,783,160,2023-03-21,Distributor,South Region,52888,4,211552,105,Johnson Ltd,Brianna Mckee,tiffanyjones@example.com,700.383.2384,2023-10-06,Yes,Regular maintenance every 6 months,2 years warranty,224.1,81.62,30691.71,Minimal environmental impact,Growing,4.1,Online Ads,"Free shipping for orders above $10,000",Industry magazines,No specific regulations,Textile
1005,OIL LUBRICATED SCREW AIR COMPRESSORS,ELECTRIC LUBRICATED EN SERIES SCREW AIR COMPRESSOR,59,16,141,2023-01-09,Online Platform,East Region,17293,5,86465,106,"Adams, Calderon and Mcclain",Peter Castro,wanda33@example.net,+1-677-555-1547x15556,2023-07-05,No,Regular maintenance every 6 months,2 years warranty,13.6,82.87,9034.42,Environmentally friendly design,Growing,4.5,Online Ads,10% off for bulk orders,Social media campaigns,Compliance with industry standards,Food Processing
1006,OIL LUBRICATED PISTON AIR COMPRESSORS,ALUMINIUM COAXIAL PISTON COMPRESSORS,175,14,96,2023-09-26,Online Platform,South Region,11765,9,105885,107,Joyce Inc,Michelle Swanson,jonathan41@example.com,810-267-4712x30805,2023-10-06,No,Regular maintenance every 6 months,5 years warranty,1.8,82.52,6178.08,Low emissions,Stable,3.6,Email Campaign,"Free shipping for orders above $10,000",Mobile app for remote monitoring,Compliance with industry standards,Paint Shot
1007,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,112,10,107,2023-03-07,Online Platform,East Region,19178,3,57534,108,Parker-Greer,Kyle King,kimberly26@example.org,4185533248,2023-10-18,Yes,Regular maintenance every 6 months,1 year warranty,6.9,79.37,12150.5,Minimal environmental impact,Stable,4.1,Online Ads,15% off for first-time buyers,Social media campaigns,Compliance with industry standards,Metal Fabrication
1008,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,146,28,137,2023-12-06,Online Platform,West Region,12551,10,125510,109,"Walton, Manning and Skinner",Noah Figueroa,andrea88@example.net,+1-982-717-3976x540,2023-12-06,No,Regular maintenance every 6 months,1 year warranty,4.2,90.8,9968.0,Low emissions,Growing,4.2,Email Campaign,"Free shipping for orders above $10,000",Industry magazines,No specific regulations,Pet Blowing
1009,OIL LUBRICATED PISTON AIR COMPRESSORS,HIGH PRESSURE PISTON COMPRESSORS,135,17,107,2023-11-14,Direct Sales,West Region,13799,5,68995,110,Kramer-Gomez,Keith Sims,weaverjordan@example.org,(225)651-7500,2023-12-05,Yes,Quarterly Maintenance,2 years warranty,3.1,92.98,9271.74,Low emissions,Growing,4.3,Online Ads,10% off for bulk orders,Mobile app for remote monitoring,Compliance with industry standards,Metal Fabrication
